key_0,business_code,cust_number,name_customer,Predicted_payment_date,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Delay,delay_bucket
13099,U002,20006191,InnovaTech Group,2019-11-11,2020.0,190583288.0,2019-08-21,2019-10-20,2020-01-04,2019-08-18,CAD,RV,1.0,227602.59,2019-08-27,PIA,190583288.0,0,85,60 to 100 days of delay
13103,CA02,20005349,Velocity Solutions,2020-01-30,2020.0,190611046.0,2019-06-10,2020-03-17,2020-04-14,2019-12-18,USD,RV,1.0,81614.78,2019-02-18,"2/20, Net 60",190611046.0,1,43,30 to 45 days of delay
13107,U007,20041132,Titanium Technologies,2019-09-21,2019.0,196674771.0,2020-01-11,2020-01-14,2019-09-09,2020-04-08,CAD,RV,1.0,4388.77,2020-01-10,Net 45,196674771.0,0,-200,no delay
13111,U013,20038311,Global Tech Solutions,2019-12-04,2020.0,190322916.0,2019-11-08,2020-03-28,2020-03-27,2020-02-25,USD,RV,1.0,103956.48,2019-04-18,Yearly,190322916.0,1,-83,no delay
13115,U007,20071790,OmniTech Solutions,2019-12-20,2019.0,191679542.0,2019-10-05,2019-07-10,2019-07-16,2019-10-31,CAD,RV,1.0,97598.25,2019-04-28,CIA,191679542.0,0,50,45 to 60 days of delay
13119,CA02,20077804,Synergy Corporations,2019-04-03,2020.0,195194378.0,2020-02-22,2020-01-10,2020-01-10,2019-01-21,USD,RV,1.0,85298.31,2019-01-25,1/10 Prox,195194378.0,0,72,60 to 100 days of delay
13123,U002,20040399,Summit Technologies,2019-06-17,2019.0,197893884.0,2019-06-10,2019-09-14,2020-03-26,2019-03-09,CAD,RV,1.0,6003.67,2019-08-01,1/30 EOM,197893884.0,0,100,
13127,CA02,20095871,NextGen Solutions,2019-12-30,2019.0,192711516.0,2019-10-07,2019-05-11,2020-01-09,2019-11-18,CAD,RV,1.0,47043.54,2019-03-10,"2/15, Net 45",192711516.0,0,42,30 to 45 days of delay
13131,U007,20095150,Ascend Industries,2020-02-15,2019.0,193905470.0,2020-03-03,2019-08-05,2019-04-27,2019-09-27,CAD,RV,1.0,48131.85,2019-12-03,"2/20, Net 60",193905470.0,1,141,more than 100 days of delay
13135,U007,20098449,Fortune Solutions,2019-12-12,2019.0,196638255.0,2019-05-05,2019-04-14,2019-05-28,2019-12-11,USD,RV,1.0,57278.79,2019-02-18,Net 7,196638255.0,1,1,0 to 15 days of delay
13139,U005,20020791,Optimum Tech Partners,2020-02-15,2019.0,194505616.0,2020-02-17,2020-01-17,2019-01-30,2019-12-05,CAD,RV,1.0,625674.97,2019-08-25,"2/20, Net 60",194505616.0,0,72,60 to 100 days of delay
13143,U002,20084379,ProTech Partners,2019-09-27,2019.0,193777327.0,2019-10-12,2019-09-21,2019-03-12,2019-08-15,CAD,RV,1.0,3899.62,2019-11-26,1/90 Prox,193777327.0,0,43,30 to 45 days of delay
13147,U007,20093971,Cortex Innovations,2019-09-02,2020.0,198945350.0,2019-02-25,2019-01-12,2019-12-03,2019-06-16,USD,RV,1.0,40224.27,2019-07-03,Graduated,198945350.0,0,78,60 to 100 days of delay
13151,U002,20061898,Infinity Holdings,2020-02-05,2019.0,193703983.0,2019-07-19,2019-01-17,2019-07-16,2019-11-09,CAD,RV,1.0,770251.86,2019-06-16,End of Month,193703983.0,1,88,60 to 100 days of delay
13155,U002,20095835,Vertex Solutions Inc.,2019-10-16,2019.0,198454253.0,2020-01-09,2019-12-03,2020-03-27,2020-04-12,CAD,RV,1.0,446480.66,2019-09-08,Weekly,198454253.0,0,-179,no delay
13159,U002,20033721,Alliance Enterprises,2019-09-05,2019.0,199615171.0,2019-05-25,2019-02-11,2019-03-13,2019-07-05,USD,RV,1.0,9766.67,2019-04-08,60 Prox,199615171.0,0,62,60 to 100 days of delay
13163,U001,20063797,Vertex Solutions Inc.,2019-06-10,2020.0,199107502.0,2019-07-19,2019-07-20,2019-04-17,2020-01-19,CAD,RV,1.0,987694.54,2019-11-09,Disposable,199107502.0,1,-223,no delay
13167,U002,20038868,Pioneer Industries,2019-08-05,2019.0,198209145.0,2019-04-24,2019-03-31,2019-01-15,2020-04-12,CAD,RV,1.0,27322.57,2019-07-19,Consumables,198209145.0,1,-251,no delay
13171,U002,20002946,Global Tech Solutions,2019-07-09,2019.0,199315886.0,2020-02-23,2020-03-10,2019-09-18,2019-05-09,USD,RV,1.0,6498.34,2019-06-01,Daily,199315886.0,0,61,60 to 100 days of delay
13175,U007,20094094,Global Ventures,2019-08-07,2019.0,196702135.0,2019-02-18,2020-02-28,2019-09-12,2019-07-04,USD,RV,1.0,7788.62,2019-06-04,90 EOM,196702135.0,0,34,30 to 45 days of delay
13179,U005,20049058,Global Tech Solutions,2019-12-04,2020.0,196169482.0,2019-08-16,2019-08-03,2019-02-15,2020-04-03,CAD,RV,1.0,153088.89,2020-01-08,Semi-Annually,196169482.0,1,-121,no delay
13183,CA02,20095402,Spectrum Technologies,2019-06-01,2019.0,194446596.0,2019-12-13,2020-01-04,2019-04-23,2019-05-24,CAD,RV,1.0,22467.89,2019-09-26,Licencing,194446596.0,0,8,0 to 15 days of delay
13187,U007,20006594,Elite Systems Group,2019-02-21,2019.0,198600426.0,2020-04-22,2020-02-05,2019-11-07,2020-02-11,CAD,RV,1.0,825568.75,2019-03-18,1/30 EOM,198600426.0,0,-355,no delay
13191,U005,20078006,Peak Technologies,2019-08-10,2020.0,199869858.0,2019-04-01,2019-09-01,2019-05-26,2019-02-05,USD,RV,1.0,1045.59,2019-06-10,1/15 Prox,199869858.0,1,186,more than 100 days of delay
13195,U002,20064430,Velocity Solutions,2019-07-25,2019.0,197969801.0,2020-02-18,2020-03-08,2019-08-03,2019-07-25,CAD,RV,1.0,91962.4,2019-04-28,1/15 EOM,197969801.0,1,0,0 to 15 days of delay
13199,U013,20093023,Skyline Innovations,2020-05-14,2019.0,194698929.0,2019-05-03,2019-04-28,2019-02-10,2019-09-19,USD,RV,1.0,725904.48,2019-10-24,1/90 EOM,194698929.0,1,238,more than 100 days of delay
13203,U002,20058996,Future Commerce Ltd.,2020-01-26,2020.0,199927781.0,2019-08-30,2019-07-16,2019-03-20,2019-07-02,USD,RV,1.0,4527.28,2019-11-26,1/60 Prox,199927781.0,1,208,more than 100 days of delay
13207,U007,20060311,Prime Logistics,2019-07-16,2019.0,199048949.0,2019-01-11,2020-03-14,2019-06-10,2019-05-26,CAD,RV,1.0,851286.57,2019-09-06,1/60 EOM,199048949.0,0,51,45 to 60 days of delay
13211,U007,20037689,Quantum Dynamics,2019-09-12,2019.0,193325667.0,2020-05-09,2019-11-17,2019-07-23,2019-08-10,USD,RV,1.0,5394.79,2019-09-20,End of Month,193325667.0,0,33,30 to 45 days of delay
13215,CA02,20016934,Fusion Enterprises,2019-08-01,2019.0,193964565.0,2019-07-29,2019-01-31,2019-04-24,2019-06-13,CAD,RV,1.0,4557.46,2020-05-07,Deductible,193964565.0,1,49,45 to 60 days of delay
13219,U007,20020092,Future Commerce Ltd.,2020-01-18,2020.0,196544297.0,2020-02-03,2019-09-30,2020-02-01,2019-12-18,USD,RV,1.0,4587.02,2019-03-06,COD,196544297.0,0,31,30 to 45 days of delay
13223,CA02,20021405,Acme Industries,2019-04-18,2019.0,198449454.0,2019-03-27,2019-12-24,2020-04-07,2020-01-05,CAD,RV,1.0,39398.26,2020-03-16,Consumables,198449454.0,0,-262,no delay
13227,U013,20089887,Acme Industries,2019-09-13,2020.0,199025803.0,2019-08-13,2019-04-18,2019-10-18,2020-01-14,USD,RV,1.0,9646.47,2019-03-14,Weekly,199025803.0,0,-123,no delay
13231,U007,20050192,Crest Business Services,2019-02-14,2019.0,193053293.0,2019-03-28,2020-01-29,2020-02-28,2019-01-18,USD,RV,1.0,4764.22,2019-12-29,Daily,193053293.0,1,27,15 to 30 days of delay
13235,U007,20016235,Fusion Enterprises,2019-10-13,2020.0,192123877.0,2019-02-20,2019-04-05,2020-04-16,2020-03-20,CAD,RV,1.0,2688.65,2020-03-13,EOM,192123877.0,1,-159,no delay
13239,U005,20045459,Synergy Innovations,2019-09-23,2019.0,194523936.0,2020-04-02,2019-01-11,2020-01-28,2019-11-07,USD,RV,1.0,58242.79,2020-02-23,Semi-Annually,194523936.0,1,-45,no delay
13243,CA02,20073510,Elite Systems Group,2019-04-18,2020.0,194808893.0,2019-06-10,2019-12-08,2020-03-12,2019-03-03,CAD,RV,1.0,5574.8,2020-02-16,Net 7,194808893.0,0,46,45 to 60 days of delay
13247,U013,20020450,Titanium Technologies,2019-07-30,2020.0,198371128.0,2019-12-11,2020-03-09,2019-09-02,2019-08-29,CAD,RV,1.0,245359.08,2019-03-29,Immediate,198371128.0,1,-30,no delay
13251,U013,20068862,Ultimate Solutions,2019-03-13,2020.0,197054855.0,2019-06-09,2019-11-16,2019-03-14,2019-01-29,CAD,RV,1.0,6619.85,2019-01-21,Consumables,197054855.0,0,43,30 to 45 days of delay
13255,U007,20019110,Summit Technologies,2019-04-30,2020.0,191284456.0,2019-01-28,2019-11-09,2020-01-18,2019-01-28,CAD,RV,1.0,63557.73,2020-02-21,N90,191284456.0,1,92,60 to 100 days of delay
13259,U013,20021079,ProTech Partners,2019-10-10,2020.0,193877420.0,2019-06-02,2019-03-06,2020-01-17,2019-07-05,CAD,RV,1.0,457635.59,2019-01-18,Hybrid,193877420.0,1,97,60 to 100 days of delay
13263,U013,20014376,Alliance Enterprises,2019-09-28,2020.0,190888101.0,2019-10-16,2019-09-30,2020-02-10,2020-03-15,USD,RV,1.0,2187.46,2019-02-06,PID,190888101.0,0,-169,no delay
13267,CA02,20005603,Apex Enterprises,2019-07-17,2019.0,198547637.0,2019-02-27,2019-12-16,2019-05-30,2019-03-13,USD,RV,1.0,5491.67,2019-04-29,Lump Sum,198547637.0,0,126,more than 100 days of delay
13271,CA02,20090141,Echelon Industries,2019-04-21,2020.0,194834473.0,2020-02-28,2019-03-02,2019-03-24,2019-02-05,USD,RV,1.0,5040.1,2019-05-10,Deductible,194834473.0,1,75,60 to 100 days of delay
13275,U001,20093584,Advantage Solutions,2019-07-09,2020.0,196577903.0,2019-02-12,2019-11-16,2020-03-18,2020-03-15,USD,RV,1.0,2873.24,2019-02-24,Immediate,196577903.0,0,-250,no delay
13279,U005,20036052,Pinnacle Manufacturing,2020-01-29,2020.0,194454326.0,2019-12-17,2019-10-05,2019-07-03,2019-11-16,USD,RV,1.0,7666.12,2020-04-30,Monthly,194454326.0,1,74,60 to 100 days of delay
13283,U007,20006129,Ultimate Solutions,2019-03-29,2020.0,194964687.0,2020-03-25,2019-01-19,2020-03-04,2020-02-12,USD,RV,1.0,283885.35,2019-05-02,Rental,194964687.0,1,-320,no delay
13287,CA02,20059821,Pinnacle Manufacturing,2019-11-09,2020.0,194022168.0,2019-09-26,2019-04-12,2020-02-03,2019-11-17,USD,RV,1.0,2181.03,2020-02-19,Deductible,194022168.0,0,-8,no delay
13291,U005,20081586,MetroTech Solutions,2019-07-04,2019.0,193058734.0,2019-02-02,2019-08-30,2019-03-03,2019-02-17,USD,RV,1.0,4304.57,2019-03-17,Graduated,193058734.0,0,137,more than 100 days of delay
13295,CA02,20099926,Vertex Solutions Inc.,2019-08-26,2019.0,190106709.0,2019-05-16,2019-03-05,2020-04-27,2020-05-02,USD,RV,1.0,4734.8,2019-07-11,1/90 Prox,190106709.0,0,-250,no delay
13299,U007,20002706,Peak Technologies,2019-06-12,2019.0,197291635.0,2019-02-07,2019-02-06,2019-11-11,2019-01-23,USD,RV,1.0,16795.67,2019-07-16,1/15 Prox,197291635.0,0,140,more than 100 days of delay
13303,CA02,20061610,Horizon Holdings,2019-07-07,2020.0,190680837.0,2020-05-03,2019-05-22,2019-12-15,2019-07-07,USD,RV,1.0,10967.95,2019-12-17,EOM,190680837.0,0,0,0 to 15 days of delay
13307,U005,20077233,Cortex Innovations,2019-10-02,2020.0,192576970.0,2019-06-17,2019-11-19,2019-10-23,2019-07-06,CAD,RV,1.0,14749.49,2020-04-10,45 EOM,192576970.0,0,88,60 to 100 days of delay
13311,U013,20069155,Apex Enterprises,2019-11-21,2019.0,194043972.0,2019-11-29,2019-05-03,2019-09-16,2019-11-09,USD,RV,1.0,66553.93,2019-08-29,"2/20, Net 60",194043972.0,0,12,0 to 15 days of delay
13315,U002,20063950,Apex Enterprises,2019-04-20,2019.0,193749046.0,2019-09-02,2019-04-18,2019-02-12,2019-01-19,CAD,RV,1.0,923342.36,2019-03-19,Out-of-Pocket,193749046.0,0,91,60 to 100 days of delay
13319,U001,20018218,Unified Ventures,2019-06-09,2020.0,191739914.0,2020-03-13,2020-04-03,2019-06-27,2020-01-19,USD,RV,1.0,68549.61,2020-04-30,Graduated,191739914.0,0,-224,no delay
13323,U002,20050089,Summit Technologies,2020-02-08,2019.0,192666926.0,2020-03-07,2020-01-15,2020-01-05,2019-08-17,CAD,RV,1.0,110702.28,2019-06-24,Hybrid,192666926.0,1,175,more than 100 days of delay
13327,CA02,20071371,Peak Technologies,2019-06-18,2020.0,191536163.0,2020-04-14,2019-06-08,2019-05-17,2020-02-05,USD,RV,1.0,350339.88,2020-04-26,In Advance,191536163.0,1,-232,no delay
13331,U001,20053960,Ultimate Solutions,2019-11-30,2019.0,198199203.0,2019-11-16,2019-02-09,2019-05-15,2019-12-04,CAD,RV,1.0,2276.76,2020-01-06,Co-Pay,198199203.0,0,-4,no delay
13335,U007,20080125,Enterprise Innovations,2019-09-27,2020.0,191587392.0,2019-11-17,2019-09-03,2019-10-17,2020-03-17,CAD,RV,1.0,408828.01,2020-04-05,1/30 EOM,191587392.0,1,-172,no delay
13339,U007,20048368,Fusion Enterprises,2019-09-14,2020.0,191357574.0,2019-05-18,2019-02-24,2019-12-17,2019-07-19,USD,RV,1.0,136087.96,2019-12-17,45 Prox,191357574.0,1,57,45 to 60 days of delay
13343,U007,20012529,Ultimate Solutions,2019-02-28,2020.0,196192223.0,2019-12-14,2019-10-02,2019-01-15,2019-04-14,USD,RV,1.0,502357.36,2019-05-15,PPD,196192223.0,0,-45,no delay
13347,CA02,20001765,Innovatech Solutions,2019-11-24,2020.0,194709006.0,2019-12-08,2019-12-04,2019-10-01,2019-08-31,USD,RV,1.0,40768.97,2020-01-11,"2/10, Net 30",194709006.0,1,85,60 to 100 days of delay
13351,CA02,20095542,Prime Innovations,2018-12-06,2020.0,193996940.0,2019-06-22,2019-07-26,2019-03-22,2019-04-10,CAD,RV,1.0,554458.87,2019-12-01,Annually,193996940.0,0,-125,no delay
13355,U013,20037153,MetroTech Solutions,2020-01-01,2020.0,194843104.0,2019-02-05,2019-04-14,2019-12-17,2020-04-26,USD,RV,1.0,875688.22,2019-08-13,1/10 Prox,194843104.0,1,-116,no delay
13359,CA02,20051869,Horizon Holdings,2019-02-20,2019.0,190021183.0,2020-03-12,2019-06-26,2019-09-15,2019-04-03,CAD,RV,1.0,33437.02,2019-03-04,Maintenance,190021183.0,1,-42,no delay
13363,U002,20079970,BlueWave Enterprises,2020-03-22,2019.0,197904142.0,2019-12-20,2020-01-29,2020-01-10,2019-12-02,USD,RV,1.0,5096.34,2020-01-09,Licencing,197904142.0,1,111,more than 100 days of delay
13367,U001,20076818,Acme Industries,2019-08-20,2019.0,194006997.0,2019-08-11,2020-02-17,2020-02-03,2020-03-16,USD,RV,1.0,44502.47,2020-03-05,Quarterly,194006997.0,1,-209,no delay
13371,U007,20088532,Spectrum Technologies,2019-05-09,2020.0,195970704.0,2019-05-29,2019-03-07,2019-11-20,2020-01-16,CAD,RV,1.0,4715.96,2019-11-06,PIA,195970704.0,0,-252,no delay
13375,U013,20098963,Future Commerce Ltd.,2019-10-20,2020.0,193271426.0,2019-07-03,2020-04-11,2019-04-22,2020-04-29,USD,RV,1.0,5025.43,2019-01-21,Annually,193271426.0,0,-192,no delay
13379,U013,20012149,Infinity Holdings,2019-10-22,2020.0,195363138.0,2019-03-09,2019-12-19,2019-11-15,2019-09-17,CAD,RV,1.0,242300.62,2019-04-23,PIB,195363138.0,1,35,30 to 45 days of delay
13383,U002,20080897,InnovaTech Group,2019-08-10,2020.0,193845042.0,2019-09-09,2020-04-17,2019-12-04,2019-04-30,USD,RV,1.0,293334.9,2019-07-20,Quarterly,193845042.0,0,102,more than 100 days of delay
13387,U001,20005013,Global Tech Solutions,2019-04-24,2019.0,196612081.0,2019-03-13,2020-03-31,2019-03-29,2019-05-23,USD,RV,1.0,95313.94,2019-05-19,PID,196612081.0,0,-29,no delay
13391,U002,20024459,Horizon Holdings,2019-07-29,2020.0,194004896.0,2020-02-02,2020-04-26,2019-12-04,2019-05-14,CAD,RV,1.0,428175.39,2019-11-10,Fixed,194004896.0,0,76,60 to 100 days of delay
13395,CA02,20006801,Crest Business Services,2019-05-12,2020.0,193786737.0,2020-02-25,2019-05-18,2019-09-21,2020-02-04,USD,RV,1.0,70069.35,2020-04-13,PID,193786737.0,1,-268,no delay
13399,U013,20025311,Peak Technologies,2019-07-02,2019.0,196343694.0,2019-07-14,2019-09-27,2020-03-05,2019-04-16,USD,RV,1.0,7695.61,2019-06-08,Lease-to-Own,196343694.0,1,77,60 to 100 days of delay
13403,U013,20097605,Infinity Holdings,2019-07-25,2020.0,193155298.0,2020-02-19,2020-03-22,2019-07-31,2020-01-10,CAD,RV,1.0,33284.05,2019-06-03,N60,193155298.0,0,-169,no delay
13407,U013,20073259,Vanguard Ventures,2019-10-17,2020.0,199662546.0,2019-04-30,2019-08-03,2019-06-28,2019-07-20,CAD,RV,1.0,51546.67,2019-12-31,Semi-Annually,199662546.0,1,89,60 to 100 days of delay
13411,CA02,20000149,Global Ventures,2019-05-18,2020.0,196127955.0,2020-01-25,2019-06-12,2019-07-16,2019-06-29,CAD,RV,1.0,680030.56,2019-12-02,30 EOM,196127955.0,0,-42,no delay
13415,U013,20068802,Ascend Industries,2019-10-26,2019.0,198173303.0,2020-04-09,2019-05-27,2019-07-13,2019-05-13,CAD,RV,1.0,2338.75,2019-10-16,"2/10, Net 30",198173303.0,1,166,more than 100 days of delay
13419,U007,20062875,Titanium Technologies,2019-12-31,2020.0,192468295.0,2019-05-23,2019-05-12,2019-04-07,2019-11-11,CAD,RV,1.0,50493.02,2019-11-26,Cash,192468295.0,1,50,45 to 60 days of delay
13423,U013,20067197,Future Commerce Ltd.,2019-11-28,2019.0,198968274.0,2019-11-20,2019-12-06,2019-06-22,2019-07-16,CAD,RV,1.0,7817.81,2020-04-06,PPD,198968274.0,1,135,more than 100 days of delay
13427,CA02,20014741,Titanium Technologies,2019-05-27,2019.0,199741393.0,2020-03-01,2019-09-18,2019-04-18,2019-08-05,CAD,RV,1.0,1962.36,2019-04-15,1/60 Prox,199741393.0,1,-70,no delay
13431,U007,20056126,Global Nexus,2019-07-31,2020.0,191570423.0,2019-11-08,2019-10-30,2019-01-17,2019-03-07,USD,RV,1.0,868824.78,2019-06-10,Prescription,191570423.0,0,146,more than 100 days of delay
13435,U007,20027741,InnovaTech Group,2019-03-11,2020.0,195450847.0,2019-07-24,2020-03-11,2020-03-14,2019-03-21,CAD,RV,1.0,270380.37,2020-02-28,Pro-Rata,195450847.0,1,-10,no delay
13439,U013,20025436,Zenith Industries,2019-07-27,2020.0,199885384.0,2019-01-12,2019-07-18,2020-02-02,2020-03-14,CAD,RV,1.0,8820.34,2019-06-09,60 Prox,199885384.0,1,-231,no delay
13443,CA02,20048262,Vanguard Ventures,2019-10-03,2020.0,190479684.0,2019-06-08,2019-05-05,2020-02-04,2020-05-02,USD,RV,1.0,335760.68,2020-03-10,1/10 Prox,190479684.0,0,-212,no delay
13447,U001,20031762,Future Commerce Ltd.,2019-12-28,2019.0,196140360.0,2020-02-08,2019-02-13,2019-02-12,2019-10-02,CAD,RV,1.0,4750.48,2019-05-19,1/90 Prox,196140360.0,1,87,60 to 100 days of delay
13451,U001,20011780,Quantum Dynamics,2019-10-17,2019.0,194638400.0,2019-11-06,2019-04-11,2019-09-15,2019-09-28,CAD,RV,1.0,2816.93,2019-04-14,Maintenance,194638400.0,0,19,15 to 30 days of delay
13455,U007,20023721,Optimum Tech Partners,2019-05-15,2019.0,194480424.0,2019-04-17,2020-04-01,2019-04-22,2020-02-09,CAD,RV,1.0,230345.6,2020-04-02,90 Prox,194480424.0,1,-270,no delay
13459,U013,20008271,Pioneer Industries,2019-03-03,2020.0,197335463.0,2020-02-11,2019-11-09,2020-04-23,2020-01-08,CAD,RV,1.0,194708.22,2019-09-12,Daily,197335463.0,0,-311,no delay
13463,U005,20083300,Ascend Industries,2019-06-25,2019.0,199231371.0,2019-08-18,2019-03-20,2019-08-09,2019-03-16,CAD,RV,1.0,470456.94,2020-03-10,"2/20, Net 60",199231371.0,1,101,more than 100 days of delay
13467,U013,20080572,NextWave Technologies,2019-11-01,2020.0,194691241.0,2020-02-12,2019-05-09,2019-02-17,2019-09-18,USD,RV,1.0,4958.18,2019-06-29,Graduated,194691241.0,1,44,30 to 45 days of delay
13471,U007,20029801,Future Commerce Ltd.,2019-11-14,2019.0,192673860.0,2019-06-29,2020-02-15,2019-05-01,2019-11-29,USD,RV,1.0,55825.89,2020-03-30,Quarterly,192673860.0,0,-15,no delay
13475,U002,20026943,Vanguard Ventures,2020-03-03,2020.0,198053594.0,2019-04-30,2019-03-22,2020-03-05,2019-12-25,CAD,RV,1.0,8018.91,2019-12-06,In Advance,198053594.0,0,69,60 to 100 days of delay
13479,CA02,20006521,Spectrum Technologies,2019-07-20,2020.0,194831982.0,2020-01-09,2019-04-07,2020-04-30,2019-06-23,CAD,RV,1.0,989732.2,2019-11-19,Maintenance,194831982.0,0,27,15 to 30 days of delay
13483,CA02,20096267,Cortex Innovations,2019-07-18,2019.0,195429854.0,2020-04-22,2019-04-03,2019-06-21,2019-07-21,CAD,RV,1.0,5886.76,2019-10-07,45 Prox,195429854.0,0,-3,no delay
13487,U001,20090477,Synergy Innovations,2019-12-07,2020.0,197846461.0,2019-05-12,2019-06-11,2019-07-20,2019-12-27,USD,RV,1.0,249990.64,2019-05-20,Due Upon Receipt,197846461.0,1,-20,no delay
13491,U002,20058114,Nexus Networks,2019-07-21,2019.0,195055677.0,2019-05-10,2019-02-03,2020-04-18,2019-05-15,CAD,RV,1.0,20216.81,2020-03-26,"2/20, Net 60",195055677.0,1,67,60 to 100 days of delay
13495,CA02,20085094,Crest Business Services,2019-09-14,2020.0,194786592.0,2019-12-08,2020-01-07,2019-03-08,2020-03-19,USD,RV,1.0,5054.51,2020-03-10,Annually,194786592.0,1,-187,no delay
13499,U013,20079942,Apex Enterprises,2019-08-30,2020.0,190607880.0,2019-08-07,2020-02-08,2019-05-20,2020-02-22,USD,RV,1.0,735329.96,2020-02-19,90 Prox,190607880.0,1,-176,no delay
13503,U002,20011208,Unified Ventures,2020-01-08,2020.0,191822128.0,2019-02-02,2019-10-03,2019-05-14,2019-12-11,USD,RV,1.0,78036.17,2019-02-17,1/15 Prox,191822128.0,0,28,15 to 30 days of delay
13507,CA02,20013785,Synergy Corporations,2018-09-05,2019.0,194015811.0,2019-11-09,2019-04-09,2019-12-24,2019-01-20,USD,RV,1.0,702264.74,2019-03-01,PIB,194015811.0,0,-137,no delay
13511,U005,20065608,Global Nexus,2019-03-08,2019.0,198824867.0,2019-07-13,2020-03-27,2019-04-27,2020-01-16,CAD,RV,1.0,909991.03,2019-12-28,Lump Sum,198824867.0,0,-314,no delay
13515,U002,20048849,Quantum Enterprises,2019-10-16,2019.0,195970195.0,2019-06-09,2019-11-12,2019-10-13,2020-03-11,USD,RV,1.0,99992.94,2019-07-11,"2/15, Net 45",195970195.0,1,-147,no delay
13519,U013,20051230,Quantum Dynamics,2019-09-12,2020.0,196772148.0,2019-02-19,2019-05-31,2019-06-20,2019-08-28,CAD,RV,1.0,2151.52,2019-10-21,End of Month,196772148.0,0,15,15 to 30 days of delay
13523,U013,20033578,InnovaTech Group,2019-09-06,2020.0,198358757.0,2019-03-29,2020-04-14,2020-01-29,2020-01-15,USD,RV,1.0,908296.02,2020-03-07,Monthly,198358757.0,1,-131,no delay
13527,U013,20056931,Global Tech Solutions,2019-07-01,2019.0,195820599.0,2019-05-17,2019-11-11,2020-01-26,2020-03-30,USD,RV,1.0,56899.33,2019-03-05,1/15 Prox,195820599.0,1,-273,no delay
13531,U007,20007158,Infinity Holdings,2019-05-14,2019.0,195554628.0,2019-09-21,2020-01-13,2020-02-16,2019-04-29,CAD,RV,1.0,7962.59,2020-02-05,In Advance,195554628.0,0,15,15 to 30 days of delay
13535,U002,20022291,Ascend Industries,2019-12-27,2019.0,192726636.0,2019-02-18,2019-12-17,2020-02-25,2019-11-16,USD,RV,1.0,1978.55,2019-08-19,Weekly,192726636.0,0,41,30 to 45 days of delay
13539,U001,20004910,Skyline Innovations,2020-06-22,2019.0,193545316.0,2019-07-06,2020-02-13,2020-02-10,2019-12-30,CAD,RV,1.0,421039.11,2019-07-29,1/60 Prox,193545316.0,1,175,more than 100 days of delay
13543,U005,20013908,MetroTech Solutions,2019-09-19,2019.0,197570402.0,2019-09-02,2019-07-13,2019-09-04,2020-04-17,CAD,RV,1.0,9199.23,2020-04-23,45 Prox,197570402.0,0,-211,no delay
13547,U001,20017114,Optimum Tech Partners,2019-08-31,2020.0,197690793.0,2019-07-17,2019-11-19,2019-05-20,2020-02-08,CAD,RV,1.0,24914.62,2020-04-07,EOM,197690793.0,1,-161,no delay
13551,CA02,20095081,Skyline Innovations,2019-10-29,2019.0,194116187.0,2019-03-16,2019-01-17,2019-07-30,2020-04-29,USD,RV,1.0,759267.64,2019-12-15,30 EOM,194116187.0,0,-183,no delay
13555,CA02,20082869,OmniTech Solutions,2019-03-09,2019.0,199239041.0,2019-01-18,2019-04-26,2019-02-07,2019-04-15,CAD,RV,1.0,59846.01,2019-02-16,End of Month,199239041.0,1,-37,no delay
13559,U001,20043532,Vanguard Ventures,2019-04-25,2020.0,191300777.0,2019-01-12,2019-12-24,2019-10-20,2019-06-12,CAD,RV,1.0,78133.33,2019-02-03,45 Prox,191300777.0,1,-48,no delay
13563,U007,20034201,Alliance Enterprises,2020-01-12,2019.0,192974472.0,2019-07-24,2019-09-06,2019-09-08,2019-11-06,USD,RV,1.0,7063.99,2019-12-09,Lump Sum,192974472.0,0,67,60 to 100 days of delay
13567,U002,20051001,Skyline Innovations,2019-12-19,2020.0,196266721.0,2019-10-19,2019-02-15,2019-01-20,2020-05-17,CAD,RV,1.0,97185.45,2019-04-14,Deductible,196266721.0,0,-150,no delay
13571,U005,20017086,Optimum Tech Partners,2019-10-16,2020.0,193158847.0,2019-05-05,2019-05-08,2019-12-08,2019-08-30,USD,RV,1.0,31347.92,2019-08-01,Tiered,193158847.0,0,47,45 to 60 days of delay
13575,U001,20033107,Prime Logistics,2019-04-12,2019.0,194110020.0,2020-02-13,2019-08-10,2019-12-24,2019-04-04,USD,RV,1.0,6505.81,2019-02-21,"2/20, Net 60",194110020.0,1,8,0 to 15 days of delay
13579,U001,20062082,Prime Logistics,2019-03-08,2020.0,196199334.0,2019-10-22,2019-04-03,2019-05-29,2020-01-29,CAD,RV,1.0,792803.73,2020-04-23,1/15 EOM,196199334.0,1,-327,no delay
13583,U013,20067821,Synergy Corporations,2019-05-09,2019.0,191305417.0,2020-04-24,2019-06-30,2020-02-28,2020-01-19,CAD,RV,1.0,192186.17,2019-01-31,Quarterly,191305417.0,0,-255,no delay
13587,U013,20070045,Echelon Industries,2019-06-04,2019.0,197454841.0,2020-01-09,2020-02-21,2019-10-26,2020-01-23,CAD,RV,1.0,353403.31,2019-05-15,Licencing,197454841.0,0,-233,no delay
